actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/foot_contact/max,test/rwd_metrics/foot_contact/mean,test/rwd_metrics/foot_contact/min,test/rwd_metrics/foot_contact/size,test/rwd_metrics/foot_contact/std,test/rwd_metrics/pelvis_move/max,test/rwd_metrics/pelvis_move/mean,test/rwd_metrics/pelvis_move/min,test/rwd_metrics/pelvis_move/size,test/rwd_metrics/pelvis_move/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.62355936,-0.08800479,39.288113,-0.014393253,0.13103038,0.017104132,12.396579,103.09474,103.01196,3.0051355,189.40259,90.78918,191.21503,1.0,-0.07948088,-1.0,910,0.89197296,0.3162326096202026,0.3162326096202026,0.3162326096202026,10,0.0,91,91.0,91,10,0.0,673.6120164394379,673.6120164394379,673.6120164394379,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-80.0,-80.0,-80.0,10,0.0,598.5433698767137,598.5433698767137,598.5433698767137,10,0.0,255.0686406633281,255.0686406633281,255.0686406633281,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0109890109890109,0.0109890109890109,0.0109890109890109,10,0.0,6.6354733,-0.15641506,-5.613929,3125,1.089238,91,82.83679401993355,6,2408,10.10881124587596,749.8000731468201,644.8874125559976,-71.53017854690552,2408,106.31888134929076,133782.0,303.19837737083435,200000.0,11.0,1812.63674235344,2200000.0,659.634137010519,34375.0
0.67425466,-0.09708966,42.366154,-0.012693675,0.14361323,0.015616939,12.385911,103.00034,102.926,3.0579095,190.40889,74.28812,192.3929,1.0,-0.0990734,-1.0,860,0.89240396,0.3115134424207945,0.3115134424207945,0.3115134424207945,10,0.0,86,86.0,86,10,0.0,669.7884893417358,669.7884893417358,669.7884893417358,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,576.4017297735581,576.4017297735581,576.4017297735581,10,0.0,263.38675549697246,263.38675549697246,263.38675549697246,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0116279069767441,0.0116279069767441,0.0116279069767441,10,1.734723475976807e-18,6.132846,-0.15534699,-5.6250973,3125,1.0882291,93,83.96851385390428,6,2382,8.139181766202038,749.579610824585,657.0385506447847,-72.38645601272583,2382,85.04860336391785,136164.0,301.2154612541199,200000.0,12.0,2113.852203607559,2400000.0,663.9765408033633,37500.0
0.7291405,-0.1099106,45.696648,-0.017705066,0.1602213,0.020858137,12.376277,103.01126,102.90476,3.0079534,192.1577,77.938934,194.16425,1.0,-0.10672893,-1.0,850,0.88503313,0.3044340846310788,0.3044340846310788,0.3044340846310788,10,5.551115123125783e-17,85,85.0,85,10,0.0,658.9808912277222,658.9808912277222,658.9808912277222,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,558.9158316823515,558.9158316823515,558.9158316823515,10,0.0,270.0650558065012,270.0650558065012,270.0650558065012,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,10,0.0,5.9572186,-0.15640323,-5.5270815,3125,1.0881442,92,83.96892062158757,6,2381,9.83342362193943,742.7734653949738,650.3856240035427,-73.0397515296936,2381,101.13876350445032,138545.0,297.0274105072021,200000.0,13.0,2410.8796141147614,2600000.0,673.33853013256,40625.0
0.82102597,-0.52256536,48.796535,-0.03527213,0.5792162,0.038639095,12.371545,103.13213,102.87447,2.9625962,192.55315,73.22879,194.5789,1.0,-0.103201725,-1.0,840,0.8873139,0.3068280400388125,0.3068280400388125,0.3068280400388125,10,0.0,84,84.0,84,10,0.0,633.996725320816,633.996725320816,633.996725320816,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-70.0,-70.0,-70.0,10,0.0,545.7554801262528,545.7554801262529,545.7554801262528,10,1.1368683772161605e-13,258.24124627182255,258.24124627182255,258.24124627182255,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0119047619047619,0.0119047619047619,0.0119047619047619,10,0.0,5.575094,-0.15683663,-5.560063,3125,1.0880766,92,85.56119402985074,31,2345,4.041757975128719,746.232189655304,661.8041904152694,17.18024967983365,2345,53.56638401429682,140890.0,306.41533160209656,200000.0,14.0,2717.294945716858,2800000.0,652.7088542022274,43750.0
0.8524731,-0.14793094,51.084118,-0.021412559,0.20675157,0.024937363,12.354566,102.805954,102.704315,2.9293175,193.1355,64.22608,195.25323,1.0,-0.101333484,-1.0,860,0.89339733,0.3105069661729187,0.3105069661729187,0.3105069661729187,10,0.0,86,86.0,86,10,0.0,634.5477058887482,634.5477058887482,634.5477058887482,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-100.0,-100.0,-100.0,10,0.0,556.8359481614581,556.8359481614581,556.8359481614581,10,0.0,277.7117582347647,277.7117582347647,277.7117582347647,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0116279069767441,0.0116279069767441,0.0116279069767441,10,1.734723475976807e-18,5.997905,-0.15708221,-5.6382365,3125,1.0897315,94,84.2484237074401,6,2379,9.937894188150375,739.7597262859344,648.9322938779412,-73.1539214849472,2379,102.41117030952113,143269.0,313.82608008384705,200000.0,15.0,3031.121025800705,3000000.0,637.2956637210159,46875.0
0.90922326,-0.12447883,53.950314,-0.019331671,0.18721525,0.023054246,12.338408,102.51196,102.43715,2.8684149,192.94354,56.146454,195.11824,1.0,-0.09845601,-1.0,840,0.891422,0.31062318231488,0.31062318231488,0.31062318231488,10,0.0,84,84.0,84,10,0.0,607.1044702529907,607.1044702529907,607.1044702529907,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-80.0,-80.0,-80.0,10,0.0,548.9426561442765,548.9426561442764,548.9426561442765,10,1.1368683772161605e-13,238.1618115960296,238.1618115960296,238.1618115960296,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0119047619047619,0.0119047619047619,0.0119047619047619,10,0.0,5.6555877,-0.15699762,-5.514066,3125,1.0914751,93,86.17957594115101,30,2311,4.661379852668317,742.4040369987488,665.345088985529,51.64695317065343,2311,57.468721319683816,145580.0,299.9481213092804,200000.0,16.0,3331.0691471099854,3200000.0,666.7819725857773,50000.0
0.9743046,-0.15041627,57.250008,-0.02324464,0.21764334,0.027194891,12.315617,102.18445,102.09827,2.868551,193.01466,44.88094,195.19994,1.0,-0.09229181,-1.0,840,0.89461684,0.3146456596773234,0.3146456596773234,0.3146456596773234,10,0.0,84,84.0,84,10,0.0,646.0912261009216,646.0912261009216,646.0912261009216,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-50.0,-50.0,-50.0,10,0.0,552.9085338932643,552.9085338932643,552.9085338932643,10,0.0,243.1826897969147,243.1826897969148,243.1826897969147,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0119047619047619,0.0119047619047619,0.0119047619047619,10,0.0,5.6049514,-0.15644969,-5.4339867,3125,1.0926168,95,84.89002123142251,6,2355,9.459277239931424,757.0595948696136,654.7796447734016,-72.31355917453766,2355,95.59149985789952,147935.0,300.0145299434662,200000.0,17.0,3631.083677053452,3400000.0,666.6343794671791,53125.0
1.0839974,-127.041145,60.39307,-0.0368971,127.11597,0.04106422,12.323108,127.52587,101.620575,2.9546645,192.40575,44.83717,194.60863,1.0,-0.08902943,-1.0,820,0.8960391,0.3162240563476264,0.3162240563476263,0.3162240563476264,10,5.551115123125783e-17,82,82.0,82,10,0.0,631.388509273529,631.388509273529,631.388509273529,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-50.0,-50.0,-50.0,10,0.0,543.0652352503204,543.0652352503204,543.0652352503204,10,0.0,238.32327492711784,238.3232749271179,238.32327492711784,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0121951219512195,0.0121951219512195,0.0121951219512195,10,0.0,6.0603914,-0.15441799,-5.7105665,3125,1.0951576,96,85.84770484770485,32,2331,4.756126136943494,749.4593107700348,657.591599585355,68.39046220481396,2331,58.07469341309488,150266.0,300.49097514152527,200000.0,18.0,3931.574652194977,3600000.0,665.5773934834615,56250.0
1.0054146,-0.07292974,62.674362,-0.0141450735,0.14230335,0.018469606,12.310721,101.27551,101.222565,3.0251677,192.25822,45.3022,194.44545,1.0,-0.096336186,-1.0,910,0.87486506,0.3015176588116276,0.3015176588116276,0.3015176588116276,10,0.0,91,91.0,91,10,0.0,664.791316986084,664.791316986084,664.791316986084,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-80.0,-80.0,-80.0,10,0.0,558.9989357332528,558.9989357332527,558.9989357332528,10,1.1368683772161605e-13,285.7923807070227,285.79238070702274,285.7923807070227,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0109890109890109,0.0109890109890109,0.0109890109890109,10,0.0,5.6730905,-0.15419614,-5.526396,3125,1.0928383,95,86.28041415012942,36,2318,3.927059881233288,751.0791385173798,666.9141692974138,175.03413724899292,2318,51.84679021801699,152584.0,297.6866412162781,200000.0,19.0,4229.261293411255,3800000.0,671.8474137194962,59375.0
1.0033691,-0.22443722,66.08832,-0.027861563,0.2936697,0.032421656,12.303642,101.09212,100.98764,3.014377,192.81543,33.467846,195.00165,1.0,-0.10330547,-1.0,920,0.87206066,0.2956115352707495,0.2956115352707495,0.2956115352707495,10,0.0,92,92.0,92,10,0.0,665.0877408981323,665.0877408981323,665.0877408981323,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,-100.0,-100.0,-100.0,10,0.0,557.1221129412447,557.1221129412446,557.1221129412447,10,1.1368683772161605e-13,307.96562995336024,307.96562995336024,307.96562995336024,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0108695652173913,0.0108695652173913,0.0108695652173913,10,1.734723475976807e-18,5.947117,-0.15473978,-5.8285527,3125,1.0919969,94,86.36077586206896,47,2320,3.831529282077505,754.2183718681335,667.06818628535,302.5670050755143,2320,54.19097067585955,154904.0,303.5561847686768,200000.0,20.0,4532.817478179932,4000000.0,658.8566138173361,62500.0
